molecule_chembl_id,Smiles,standard_type,standard_value,standard_units,assay_type,assay_organism,target_organism,pIC50
CHEMBL4107600,COCCCOc1cc(C(C)N(C(=O)[C@H]2CNCCN2)C2CC2)cc2occc12,IC50,37.0,nM,B,Homo sapiens,Homo sapiens,7.432
CHEMBL1761521,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCCNS(C)(=O)=O)c1,IC50,2.9,nM,B,Homo sapiens,Homo sapiens,8.538
CHEMBL363620,COc1cccc(COC[C@H]2CNCC(=O)N2c2ccc(OCCCOCc3ccccc3OC)cc2)c1,IC50,600.0,nM,B,Homo sapiens,Homo sapiens,6.222
CHEMBL94923,NC1CCN(C(=O)C[C@@H](Cc2cccc3ccccc23)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)CC1,IC50,0.79,nM,B,Homo sapiens,Homo sapiens,9.102
CHEMBL3947878,COCCCCn1nc([C@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2ccccc21,IC50,4.4,nM,B,Homo sapiens,Homo sapiens,8.357
CHEMBL3972941,COCCCn1nc([C@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2ccccc21,IC50,41.0,nM,B,Homo sapiens,Homo sapiens,7.387
CHEMBL4113739,COCCCCn1cc(C(C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2ncccc21,IC50,4.1,nM,B,Homo sapiens,Homo sapiens,8.387
CHEMBL2028990,CC(C)CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,IC50,2.2,nM,B,Homo sapiens,Homo sapiens,8.658
CHEMBL371193,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2ccc(F)cc2)cc1,IC50,450.0,nM,B,Homo sapiens,Homo sapiens,6.347
CHEMBL592048,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(N)=O)c2cccc(Cl)c2)C1,IC50,31.0,nM,B,Homo sapiens,Homo sapiens,7.509
