molecule_chembl_id,Smiles,standard_type,standard_value,standard_units,assay_type,assay_organism,target_organism
CHEMBL3142181,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)N(C)C(=O)OC(C)(C)C)C(=O)NCc1ccccn1,IC50,340.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL329808,NC1CCN(S(=O)(=O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)CC1,IC50,0.54,nM,B,Homo sapiens,Homo sapiens
CHEMBL329808,NC1CCN(S(=O)(=O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)CC1,IC50,0.7,nM,B,Homo sapiens,Homo sapiens
CHEMBL541135,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCC(=O)O)C(C)C)ccc1OC.Cl,IC50,3.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL556976,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCS(=O)(=O)CC2)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL536981,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCN2CCOCC2)C(C)C)ccc1OC.Cl,IC50,11.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL536522,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCCCC2)C(C)C)ccc1OC.Cl,IC50,22.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL558790,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCO)c1)C(C)C.Cl,IC50,6.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL537433,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCOC)c1)C(C)C.Cl,IC50,11.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL535633,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCS(C)(=O)=O)c1)C(C)C.Cl,IC50,50.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL536521,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCC(=O)N2CCOCC2)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL537668,CNC(=O)CCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL394016,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C(F)(F)F)O2,IC50,17.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL238892,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)CO2,IC50,3900.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL296588,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,IC50,6000.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL534728,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCO)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL306777,CCCCNC(=O)[C@@H](CC(O)C(CC1CCCCC1)NC(=O)Cc1nnc2c(CCC)nc(-c3cccnc3)cn12)C(C)C,IC50,26.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL74310,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCCN3CCOCC3)C(C)C)nnc12,IC50,0.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL307442,CCCCN(C)C(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(Cc1cccnc1)c1nnc2c(CCC)nc(-c3cccnc3)cn12)C(C)C,IC50,41.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL265486,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCCCCO)C(C)C)nnc12,IC50,0.3,nM,B,Homo sapiens,Homo sapiens
CHEMBL318672,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1,IC50,0.17,nM,B,Homo sapiens,Homo sapiens
CHEMBL329818,CCOC(=O)CCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1,IC50,0.69,nM,B,Homo sapiens,Homo sapiens
